id,name,slug,value,product_id
1,image-resolution,image-resolution,2M; 10M; 16M; 24M; 48M; 64M; 96M,1
2,video-resolution,video-resolution,"1080P, 2K, 4K, 5K, 6K, 8K",1
3,image-sensor,image-sensor,"Pixel ：13.0MP CMOS sensor (up to 96MP interpolation)
sensor size：1/3.2 inch",1
4,display-screen,display-screen,2.8-inch 480*640 IPS display,1
5,usb,usb,Type-C USB,1
6,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),1
7,battery-capacity,battery-capacity,700mA/h，3.7V Rechargeable lithium battery,1
8,language,language,"Simplified Chinese, Traditional Chinese, English, Japanese, Spanish, Portuguese, Italian, German, French, Dutch, Russian, Greek, Polish, Hebrew, Turkish",1
9,accessories-for-camcorder,accessories-for-camcorder,"user manual*1, USB cable*1, lithium battery*1, lanyard*1, lens cleaning cloth*1, storage bag*1",1
10,image-resolution,image-resolution,"96M(13056×7344); 64M(10752×6048); 48M(9344×5248);
36M(8064×4536); 21M(6144×3456); 12M(4096×3072)",2
11,video-resolution,video-resolution,"8K 15FPS（interpolation）; 5K 30FPS（interpolation） ; 4K 30FPS ；2.7K 60FPS; 2.7K 30FPS ; FHD 60FPS ; FHD 30FPS;
HD60FPS ; HD30FPS",2
12,image-sensor,image-sensor,"Pixel ：21 megapixel CMOS sensor (up to 96MP interpolation)
sensor size：1/2.4 inch",2
13,display-screen,display-screen,3.5-inch IPS display,2
14,usb,usb,Type-C USB,2
15,expanded-memory-card,expanded-memory-card,TF Card slot (up to 1TB ),2
16,battery-capacity,battery-capacity,1050mA/h，3.7V Rechargeable lithium battery,2
17,language,language,"English, Simplified Chinese, Traditional Chinese, German, French, Italian, Spanish, Russian, Portuguese, Japanese",2
18,accessories-for-camcorder,accessories-for-camcorder,"User Manual *1, USB Cable *1, Lithium Battery (NP40) *1, Wrist Strap *1, Cloth Bag *1, Lens Cleaning Cloth *1",2
19,image-resolution,image-resolution,"48M: 7680*5760; 24M: 5760*4320; 12M: 4032*2880 ;
8M: 3800*2160; 5M: 3200*1800; 3M: 2560*1440",3
20,video-resolution,video-resolution,FHD(1920*1080)/HD(1280*720 )/VGA 640*480,3
21,game,game,Pinball/Pushing Boxes/Tetris/Snake Snakes,3
22,usb,usb,Micro USB,3
23,expanded-memory-card,expanded-memory-card,"TF Card slot (up to 32GB),Support SDHC class 6",3
24,battery-capacity,battery-capacity,Built-in rechargeable lithium battery 600MA,3
