created_time,updated_time,deleted,id,name,slug,sort_order
2026-07-20 08:39:40.834434+08,2026-07-20 08:39:40.836411+08,0,1,Action Ccamera,action-camera,0
2026-07-20 08:39:40.841727+08,2026-07-20 08:39:40.841735+08,0,2,Compact Camera,compact-camera,0
2026-07-20 08:39:40.842845+08,2026-07-20 08:39:40.842852+08,0,3,Kids Camera,kids-camera,0
2026-07-20 08:39:40.844588+08,2026-07-20 08:39:40.844594+08,0,5,Mirrorless Camera,mirrorless-camera,0
2026-07-20 08:39:40.845423+08,2026-07-20 08:39:40.845429+08,0,6,Video Camera,video-camera,0
2026-07-20 08:57:42.152379+08,2026-07-20 15:43:43.878275+08,1,7,微单相机,mirrorless,0
2026-07-20 08:57:42.153467+08,2026-07-20 15:43:43.881188+08,1,8,卡片相机,compact,0
2026-07-20 08:57:42.154362+08,2026-07-20 15:43:43.883495+08,1,9,运动相机,action,0
2026-07-20 08:57:42.155195+08,2026-07-20 15:43:43.886316+08,1,10,摄像机,video,0
2026-07-20 08:57:42.156065+08,2026-07-20 15:43:43.88856+08,1,11,儿童相机,kids,0
2026-07-20 08:39:40.843741+08,2026-07-21 16:24:55.933642+08,0,4,Lens,lens,0
2026-07-20 15:43:43.890923+08,2026-07-21 16:24:55.939361+08,1,12,未分类,uncategorized,999
