id,permission_code,role_id
3043,product:read,1
3044,product:create,1
3045,product:update,1
3046,product:delete,1
3047,product:publish,1
3048,news:read,1
3049,news:create,1
3050,news:update,1
3051,news:delete,1
3052,news:publish,1
3053,inquiry:read,1
3054,inquiry:update,1
3055,role:read,1
3056,role:create,1
3057,role:update,1
3058,audit:read,1
3059,migration:read,1
3060,migration:run,1
3061,admin:login,1
3062,category:read,1
3063,category:create,1
3064,category:update,1
3065,category:delete,1
3066,news:category:read,1
3067,news:category:create,1
3068,news:category:update,1
3069,news:category:delete,1
3070,media:upload,1
3071,settings:update,1
3072,product:read,2
3073,product:create,2
3074,product:update,2
3075,product:delete,2
3076,news:read,2
3077,news:create,2
3078,news:update,2
3079,news:delete,2
3080,inquiry:read,2
3081,inquiry:update,2
3082,migration:read,2
3083,migration:run,2
3084,admin:login,2
3085,category:read,2
3086,category:create,2
3087,category:update,2
3088,category:delete,2
3089,news:category:read,2
3090,news:category:create,2
3091,news:category:update,2
3092,news:category:delete,2
3093,media:upload,2
