▲ Next.js 16.3.0 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://172.19.64.1:3001
- Environments: .env.local
✓ Ready in 536ms
✓ Running next.config.ts took 129ms

 GET /signin 200 in 462ms (next.js: 133ms, proxy.ts: 154ms, application-code: 176ms)
 GET /signin 200 in 36ms (next.js: 2ms, proxy.ts: 4ms, application-code: 30ms)
 GET /signin 200 in 59ms (next.js: 10ms, proxy.ts: 4ms, application-code: 46ms)
 GET / 200 in 55ms (next.js: 19ms, proxy.ts: 10ms, application-code: 26ms)
 GET /products 200 in 36ms (next.js: 18ms, proxy.ts: 5ms, application-code: 12ms)
 GET /categories 200 in 33ms (next.js: 16ms, proxy.ts: 4ms, application-code: 13ms)
 GET /media 200 in 31ms (next.js: 16ms, proxy.ts: 3ms, application-code: 12ms)
 GET / 200 in 87ms (next.js: 3ms, proxy.ts: 4ms, application-code: 79ms)
 GET /inquiries 200 in 110ms (next.js: 53ms, proxy.ts: 4ms, application-code: 53ms)
 GET /signin 200 in 118ms (next.js: 17ms, proxy.ts: 20ms, application-code: 81ms)
 GET /inquiries 200 in 60ms (next.js: 11ms, proxy.ts: 6ms, application-code: 43ms)
 GET /inquiries 200 in 45ms (next.js: 2ms, proxy.ts: 4ms, application-code: 39ms)
 GET /inquiries 200 in 78ms (next.js: 30ms, proxy.ts: 5ms, application-code: 42ms)
 GET / 200 in 60ms (next.js: 43ms, proxy.ts: 3ms, application-code: 14ms)
 GET /products 200 in 48ms (next.js: 32ms, proxy.ts: 4ms, application-code: 12ms)
 GET /categories 200 in 40ms (next.js: 23ms, proxy.ts: 5ms, application-code: 12ms)
 GET /news 200 in 51ms (next.js: 33ms, proxy.ts: 5ms, application-code: 12ms)
 GET /inquiries 200 in 17ms (next.js: 2ms, proxy.ts: 5ms, application-code: 11ms)
 GET /inquiries 200 in 9ms (next.js: 2ms, proxy.ts: 4ms, application-code: 3ms)
 GET /inquiries 200 in 15ms (next.js: 2ms, proxy.ts: 3ms, application-code: 10ms)
 GET /media 200 in 36ms (next.js: 20ms, proxy.ts: 4ms, application-code: 11ms)
 GET /settings 200 in 46ms (next.js: 29ms, proxy.ts: 5ms, application-code: 13ms)
 GET /account 200 in 57ms (next.js: 40ms, proxy.ts: 5ms, application-code: 12ms)
 GET /users 200 in 52ms (next.js: 35ms, proxy.ts: 5ms, application-code: 12ms)
 GET /audit-logs 200 in 48ms (next.js: 32ms, proxy.ts: 5ms, application-code: 12ms)
 GET /signin 200 in 101ms (next.js: 15ms, proxy.ts: 8ms, application-code: 79ms)
